"label","label_wo_outliers","label_cluster2_kmeans5","label_cluster5_kmeans5","label_cluster4_kmeans5"
"KNL1","CS1","CS1","CS1","CS1","CS2"
"ZWINT","CS2","CS2","CS2","CS2","CS1"
"DSN1","CS1","CS1","CS1","CS1","CS1"
"NUF2","CS0","CS0","CS0","CS0","CS0"
"SH3BGRL","CS5","CS5","CS7","CS5","CS4"
"ERBB2","CS3","CS3","CS2","CS3","CS2"
"ERBB3","CS4","CS4","CS3","CS4","CS2"
"PIK3R2","CS3","CS3","CS3","CS3","CS4"
"ACAN","CS5","CS5","CS5","CS5","CS5"
"LUM","CS6","CS6","CS6","CS6","CS6"
"NSL1","CS1","CS1","CS1","CS0","CS1"
"PPID","CS5","CS5","CS5","CS6","CS4"
"HSP90AB1","CS2","CS2","CS3","CS1","CS2"
"RET","CS5","CS5","CS5","CS4","CS3"
"EPHA5","CS6","CS6","CS6","CS6","CS4"
"RP9","CS3","CS3","CS3","CS3","CS4"
"MPRIP","CS2","CS2","CS2","CS2","CS3"
"PPP1R12C","CS5","CS5","CS5","CS6","CS5"
"RAPH1","CS4","CS4","CS4","CS4","CS4"
"HDAC1","CS3","CS3","CS4","CS3","CS3"
"HDAC4","CS5","CS4","CS6","CS4","CS4"
"HDAC5","CS5","CS5","CS5","CS5","CS3"
"HDAC6","CS6","CS6","CS5","CS4","CS4"
"CHFR","CS5","CS5","CS4","CS4","CS4"
"RICTOR","CS1","CS1","CS1","CS1","CS1"
"RPTOR","CS1","CS1","CS1","CS0","CS1"
"SYT1","CS5","CS5","CS5","CS6","CS5"
"SV2B","CS7","CS7","CS7","CS6","CS5"
"C6orf15","CS4","CS4","CS4","CS4","CS4"
"SV2C","CS4","CS4","CS5","CS4","CS4"
"MMP14","CS7","CS7","CS7","CS6","CS7"
"MAP2K7","CS3","CS3","CS4","CS3","CS3"
"TCERG1","CS1","CS1","CS1","CS1","CS1"
"SF3A1","CS0","CS0","CS0","CS0","CS0"
"SF3B1","CS0","CS0","CS0","CS0","CS0"
"DNAJB9","CS5","CS5","CS4","CS5","CS6"
"TPM4","CS2","CS2","CS3","CS2","CS2"
"NPM1","CS1","CS0","CS0","CS0","CS1"
"PCBP1","CS0","CS0","CS0","CS0","CS0"
"HNRNPH1","CS1","CS1","CS0","CS1","CS1"
"RBBP7","CS5","CS5","CS5","CS5","CS4"
"RBBP4","CS0","CS0","CS0","CS1","CS0"
"MTA1","CS6","CS6","CS6","CS6","CS7"
"SIN3A","CS1","CS1","CS0","CS0","CS1"
"CRTC2","CS3","CS3","CS4","CS3","CS3"
"SIK2","CS4","CS4","CS4","CS4","CS4"
"CACNA1F","CS6","CS6","CS5","CS6","CS5"
"CABP4","CS3","CS3","CS4","CS3","CS3"
"SART3","CS0","CS0","CS0","CS0","CS0"
"PRPF4","CS0","CS0","CS1","CS0","CS0"
"SNRNP200","CS0","CS0","CS0","CS0","CS0"
"CD2BP2","CS2","CS2","CS2","CS2","CS3"
"EIF4G1","CS1","CS1","CS1","CS0","CS1"
"EIF4A2","CS4","CS4","CS4","CS4","CS3"
"PRPF8","CS0","CS0","CS0","CS0","CS0"
"KIF5B","CS6","CS6","CS5","CS6","CS5"
"CNOT1","CS1","CS1","CS1","CS1","CS1"
"IPO4","CS5","CS5","CS4","CS4","CS5"
"HERC2","CS2","CS2","CS1","CS2","CS1"
"SNRNP40","CS1","CS1","CS1","CS1","CS1"
"CDAN1","CS1","CS1","CS1","CS1","CS1"
"EFTUD2","CS0","CS0","CS0","CS0","CS0"
"SMNDC1","CS1","CS1","CS1","CS0","CS1"
"SF3B3","CS0","CS0","CS0","CS0","CS0"
"PAAF1","CS5","CS5","CS6","CS4","CS5"
"BTG2","CS6","CS5","CS5","CS6","CS6"
"PSMD13","CS0","CS0","CS1","CS0","CS0"
"TLK2","CS1","CS1","CS1","CS1","CS1"
"ROCK2","CS7","CS7","CS4","CS7","CS3"
"IKBKE","CS6","CS6","CS6","CS6","CS5"
"YWHAB","CS4","CS4","CS4","CS4","CS4"
"TCEAL1","CS5","CS5","CS5","CS6","CS5"
"PSMD12","CS0","CS0","CS0","CS0","CS0"
"FBXO4","CS6","CS6","CS6","CS6","CS4"
"PSMD1","CS0","CS0","CS0","CS0","CS0"
"RANGAP1","CS0","CS0","CS0","CS0","CS0"
"NSF","CS0","CS0","CS0","CS0","CS0"
"PSMD6","CS0","CS0","CS0","CS0","CS0"
"GSTK1","CS6","CS6","CS5","CS6","CS4"
"EIF1B","CS5","CS5","CS5","CS5","CS4"
"EIF3A","CS0","CS0","CS0","CS0","CS0"
"PI4KB","CS1","CS1","CS3","CS2","CS1"
"DHX36","CS1","CS1","CS1","CS2","CS1"
"TLE3","CS6","CS6","CS6","CS7","CS4"
"PSMD3","CS0","CS0","CS0","CS0","CS0"
"MLF2","CS5","CS5","CS4","CS6","CS3"
"MMS19","CS1","CS1","CS1","CS1","CS1"
"TUSC2","CS3","CS3","CS4","CS3","CS2"
"HSPA4L","CS6","CS6","CS5","CS6","CS4"
"FDFT1","CS5","CS4","CS5","CS4","CS4"
"MAGEB2","CS6","CS7","CS7","CS6","CS5"
"MCC","CS7","CS7","CS7","CS7","CS7"
"GEMIN4","CS1","CS1","CS1","CS1","CS1"
"ACP6","CS5","CS5","CS5","CS5","CS6"
"PSMD11","CS0","CS0","CS0","CS0","CS0"
"CDK11B",NA,NA,NA,NA,NA
"TNFRSF14","CS4","CS4","CS5","CS4","CS4"
"UGGT1","CS6","CS6","CS4","CS6","CS6"
"LGALS9","CS2","CS2","CS2","CS2","CS3"
"ASB3","CS3","CS4","CS4","CS3","CS4"
"CDKN2C","CS6","CS6","CS6","CS7","CS6"
"PTP4A3","CS5","CS5","CS5","CS4","CS5"
"GCN1","CS2","CS2","CS2","CS2","CS2"
"RIOK3","CS5","CS5","CS5","CS4","CS5"
"CHST12","CS6","CS6","CS6","CS5","CS3"
"NELFCD","CS1","CS1","CS1","CS1","CS3"
"VARS1","CS0","CS0","CS0","CS0","CS0"
"EEF1A2","CS5","CS5","CS5","CS6","CS5"
"ALDH16A1","CS6","CS6","CS6","CS5","CS5"
"RPL3","CS0","CS0","CS0","CS0","CS0"
"MKLN1","CS3","CS3","CS2","CS3","CS5"
"RO60","CS4","CS4","CS5","CS4","CS4"
"LARP1","CS3","CS3","CS3","CS3","CS2"
"SMYD2","CS6","CS6","CS5","CS6","CS6"
"IRS2","CS3","CS3","CS3","CS3","CS2"
"PON2","CS5","CS5","CS5","CS5","CS5"
"RUVBL1","CS0","CS0","CS0","CS0","CS0"
"IQGAP1","CS6","CS6","CS4","CS5","CS6"
"STRN","CS6","CS6","CS6","CS4","CS4"
"PFAS","CS2","CS2","CS2","CS2","CS2"
"HLA-B",NA,NA,NA,NA,NA
"DDX23","CS1","CS1","CS1","CS1","CS1"
"SLC27A4","CS6","CS6","CS5","CS4","CS3"
"TMBIM4","CS5","CS5","CS5","CS5","CS5"
"DYNC1H1","CS0","CS0","CS0","CS0","CS0"
"UQCRC1","CS2","CS2","CS1","CS3","CS2"
"NEK9","CS5","CS5","CS5","CS5","CS4"
"DNASE2","CS4","CS4","CS4","CS4","CS4"
"DERA","CS4","CS3","CS3","CS5","CS3"
"RAI14","CS5","CS5","CS5","CS5","CS5"
"PLRG1","CS1","CS1","CS1","CS0","CS1"
"KHK","CS4","CS4","CS4","CS4","CS4"
"AP2S1","CS1","CS1","CS1","CS1","CS1"
"MPDU1","CS3","CS3","CS3","CS3","CS3"
"MORF4L2","CS6","CS6","CS6","CS6","CS5"
"SAMD4B","CS2","CS2","CS3","CS3","CS1"
"WRAP73","CS4","CS4","CS3","CS4","CS2"
"PPP4R3A","CS4","CS4","CS3","CS2","CS4"
"BRAF","CS5","CS5","CS5","CS5","CS5"
"VCP","CS0","CS0","CS0","CS0","CS0"
"STRN3","CS4","CS4","CS4","CS4","CS5"
"EIF6","CS0","CS0","CS0","CS0","CS0"
"IRGQ","CS6","CS6","CS5","CS6","CS6"
"ARPC2","CS2","CS1","CS3","CS1","CS2"
"ACTR3B","CS6","CS6","CS5","CS4","CS6"
"LUC7L2","CS1","CS1","CS1","CS2","CS4"
"WDCP","CS5","CS5","CS5","CS5","CS5"
"MYBBP1A","CS1","CS1","CS1","CS1","CS1"
"DDX56","CS0","CS0","CS0","CS0","CS0"
"GLB1","CS5","CS5","CS5","CS4","CS5"
"PRPF4B","CS1","CS1","CS1","CS1","CS1"
"OLA1","CS2","CS2","CS3","CS2","CS2"
"RPN2","CS1","CS1","CS1","CS1","CS1"
"PPP1CB","CS0","CS0","CS1","CS0","CS0"
"PPP1R7","CS1","CS1","CS1","CS1","CS1"
"ATIC","CS4","CS4","CS1","CS3","CS5"
"KRT85","CS4","CS5","CS4","CS5","CS3"
"CDC20","CS0","CS0","CS0","CS0","CS0"
"EML3","CS5","CS4","CS5","CS4","CS6"
"ABCD3","CS3","CS3","CS4","CS3","CS2"
"RAB5IF","CS4","CS4","CS4","CS4","CS3"
"RANBP2","CS1","CS1","CS1","CS1","CS1"
"SSB","CS1","CS1","CS0","CS0","CS1"
"DSTYK","CS4","CS4","CS3","CS4","CS2"
"COPS2","CS0","CS0","CS1","CS0","CS0"
"RNF123","CS3","CS3","CS3","CS2","CS3"
"CNTF","CS5","CS5","CS5","CS5","CS4"
"ARPC1A","CS4","CS4","CS4","CS4","CS4"
"MRPS22","CS1","CS1","CS2","CS2","CS1"
"NFKBIL1","CS6","CS6","CS6","CS6","CS7"
"PTP4A2","CS3","CS3","CS3","CS3","CS3"
"EIF3M","CS0","CS0","CS1","CS0","CS0"
"MYH9","CS2","CS2","CS2","CS2","CS1"
"PRPF40A","CS1","CS1","CS1","CS0","CS1"
"ATAD3A","CS4","CS4","CS4","CS4","CS4"
"NOLC1","CS1","CS1","CS1","CS1","CS1"
"PPM1B","CS5","CS5","CS5","CS5","CS6"
"RASGRP1","CS4","CS4","CS4","CS4","CS4"
"EDC3","CS5","CS5","CS5","CS4","CS5"
"CDK6","CS1","CS1","CS1","CS1","CS1"
"RASGRF2","CS6","CS6","CS5","CS6","CS6"
"OSBPL3","CS6","CS6","CS6","CS7","CS6"
"UQCRC2","CS2","CS3","CS1","CS3","CS1"
"EIF2D","CS6","CS6","CS6","CS6","CS5"
"RAD51","CS0","CS0","CS0","CS0","CS1"
"PPP2R1A","CS1","CS1","CS1","CS1","CS0"
"CD40","CS6","CS6","CS6","CS6","CS6"
"CORO1A","CS5","CS5","CS5","CS4","CS5"
"TSR1","CS0","CS0","CS0","CS1","CS0"
"CLASP1",NA,NA,NA,NA,NA
"AKR1B1","CS5","CS5","CS5","CS5","CS6"
"TFE3","CS6","CS6","CS6","CS6","CS4"
"TIPRL","CS2","CS2","CS2","CS2","CS2"
"BCKDK","CS5","CS5","CS5","CS6","CS5"
"CCDC47","CS4","CS4","CS3","CS2","CS4"
"XPO5","CS1","CS1","CS1","CS2","CS1"
"USP8","CS1","CS1","CS1","CS0","CS1"
"USF2","CS3","CS3","CS4","CS3","CS2"
"DNAAF5","CS5","CS5","CS3","CS5","CS5"
"TCEAL9","CS4","CS4","CS3","CS4","CS4"
"EPRS1","CS0","CS0","CS0","CS0","CS0"
"PPFIBP1","CS5","CS5","CS5","CS6","CS5"
"PHB2","CS0","CS0","CS0","CS0","CS0"
"CCAR2","CS6","CS6","CS5","CS6","CS5"
"MNAT1","CS1","CS1","CS1","CS1","CS1"
"NRDE2","CS0","CS0","CS0","CS0","CS1"
"TCOF1","CS1","CS1","CS1","CS1","CS1"
"HEATR1","CS0","CS0","CS0","CS0","CS0"
"PAK4","CS4","CS4","CS4","CS4","CS3"
"LRRK1","CS5","CS5","CS5","CS5","CS5"
"PPP4R3B","CS4","CS4","CS4","CS5","CS3"
"RRBP1","CS5","CS6","CS5","CS5","CS6"
"STRN4","CS4","CS4","CS4","CS4","CS4"
"PHLDA3","CS6","CS6","CS6","CS6","CS6"
"KLC4","CS5","CS5","CS5","CS5","CS5"
"EIF3D","CS0","CS0","CS0","CS0","CS0"
"NPRL2","CS4","CS4","CS4","CS6","CS4"
"ACLY","CS1","CS1","CS1","CS1","CS1"
"CNBP","CS4","CS4","CS3","CS4","CS4"
"IGF2BP1","CS5","CS5","CS5","CS6","CS5"
"PARD3","CS1","CS1","CS1","CS1","CS1"
"YARS1","CS0","CS0","CS0","CS0","CS0"
"RBM25","CS0","CS0","CS0","CS0","CS0"
"ACTR2","CS0","CS0","CS0","CS0","CS0"
"CCN4",NA,NA,NA,NA,NA
"DYNLL1","CS1","CS1","CS1","CS2","CS1"
"DDX27","CS1","CS1","CS1","CS1","CS0"
"OTUD4","CS6","CS6","CS4","CS6","CS3"
"TSC22D1","CS5","CS5","CS5","CS5","CS5"
"TJP2","CS6","CS6","CS6","CS6","CS6"
"ARHGDIA","CS5","CS5","CS5","CS4","CS5"
"RPL23A","CS0","CS0","CS0","CS0","CS0"
"LYAR","CS7","CS7","CS6","CS6","CS7"
"CLEC3B","CS6","CS6","CS6","CS6","CS4"
"OSTF1","CS6","CS6","CS6","CS5","CS5"
"CAMK2B","CS5","CS5","CS5","CS5","CS3"
"CAMK2A","CS5","CS5","CS5","CS5","CS5"
"IMPDH2","CS1","CS1","CS1","CS1","CS1"
"CAMK2D","CS5","CS5","CS6","CS5","CS7"
"CNNM4","CS4","CS4","CS4","CS4","CS4"
"PSMD14","CS0","CS0","CS0","CS0","CS0"
"ICA1","CS5","CS5","CS5","CS5","CS7"
"DDOST","CS1","CS1","CS1","CS0","CS1"
"PAK2","CS3","CS3","CS3","CS3","CS3"
"UBE2M","CS0","CS0","CS0","CS0","CS1"
"NAE1","CS1","CS1","CS1","CS1","CS1"
"TWF2","CS4","CS4","CS4","CS4","CS4"
"VRK3","CS7","CS6","CS6","CS6","CS6"
"ERC1","CS5","CS4","CS5","CS4","CS4"
"CDC25B","CS1","CS1","CS2","CS1","CS2"
"RPRM","CS6","CS6","CS6","CS6","CS5"
"PSMD7","CS0","CS0","CS0","CS0","CS0"
"SEPTIN7",NA,NA,NA,NA,NA
"KRT31","CS3","CS3","CS3","CS3","CS3"
"ELAC2","CS1","CS1","CS1","CS1","CS1"
"EPPK1",NA,NA,NA,NA,NA
"AP3B1","CS3","CS3","CS3","CS2","CS2"
"CCNA1","CS5","CS5","CS5","CS5","CS6"
"USP9X","CS2","CS2","CS4","CS2","CS1"
"RFXANK","CS3","CS3","CS4","CS3","CS3"
"KIF5C",NA,NA,NA,NA,NA
"CDC37","CS0","CS0","CS0","CS0","CS0"
"PMVK","CS2","CS2","CS1","CS2","CS1"
"CENPH","CS2","CS2","CS2","CS1","CS2"
"FKBP4","CS4","CS4","CS5","CS4","CS4"
"PITPNA","CS5","CS5","CS5","CS6","CS6"
"RAB11FIP1","CS7","CS7","CS7","CS8","CS7"
"EIF2B1","CS0","CS0","CS0","CS0","CS1"
"EIF2B3","CS0","CS0","CS0","CS0","CS0"
"SH3BP4","CS6","CS6","CS6","CS7","CS5"
"ATG5","CS7","CS7","CS7","CS7","CS7"
"SIRT2","CS4","CS4","CS4","CS4","CS3"
"CLASP2",NA,NA,NA,NA,NA
"CHAF1B","CS0","CS0","CS0","CS0","CS0"
"ELOVL1","CS2","CS2","CS3","CS2","CS2"
"LUC7L","CS5","CS5","CS5","CS5","CS7"
"FIBP","CS3","CS3","CS3","CS4","CS4"
"C2CD5","CS6","CS6","CS6","CS5","CS7"
"CDK2AP1","CS4","CS4","CS4","CS4","CS4"
"AMY1A",NA,NA,NA,NA,NA
"DBT","CS4","CS4","CS4","CS3","CS5"
"ADI1","CS5","CS5","CS6","CS5","CS4"
"AZIN1","CS5","CS5","CS5","CS4","CS4"
"OAZ2","CS7","CS6","CS6","CS6","CS5"
"FNTB","CS1","CS1","CS1","CS1","CS1"
"FBXW11","CS1","CS1","CS2","CS1","CS1"
"USF1","CS4","CS4","CS4","CS4","CS5"
"MARK2","CS2","CS2","CS2","CS3","CS2"
"MYO1B","CS5","CS5","CS5","CS6","CS5"
"SRPK1","CS4","CS4","CS4","CS5","CS4"
"MRPS25","CS4","CS4","CS1","CS3","CS1"
"ARPC1B","CS6","CS6","CS6","CS7","CS5"
"ATAD3B","CS4","CS5","CS4","CS5","CS4"
"NUP93","CS0","CS0","CS0","CS0","CS0"
"EIF3I","CS0","CS0","CS0","CS0","CS0"
"RACGAP1","CS0","CS0","CS0","CS0","CS0"
"TIMM13","CS1","CS1","CS1","CS1","CS1"
"PLEKHJ1","CS4","CS4","CS5","CS4","CS5"
"BCAS2","CS1","CS1","CS1","CS1","CS0"
"COX4I1","CS2","CS2","CS2","CS3","CS2"
"MTX1","CS6","CS6","CS6","CS6","CS4"
"SNCG","CS6","CS6","CS6","CS6","CS6"
"PGRMC1","CS6","CS6","CS6","CS3","CS6"
"EFHD1","CS5","CS5","CS5","CS5","CS6"
"KIF23","CS0","CS0","CS0","CS0","CS0"
"CNOT10","CS5","CS5","CS4","CS2","CS7"
"ACTR3","CS2","CS1","CS2","CS1","CS1"
"MYH10","CS6","CS6","CS6","CS6","CS5"
"PASK","CS5","CS5","CS6","CS5","CS5"
"SERINC3","CS5","CS5","CS5","CS5","CS5"
"EIF4G3","CS5","CS5","CS5","CS5","CS4"
"AHCY","CS1","CS1","CS1","CS1","CS1"
"RAB8A","CS6","CS5","CS5","CS6","CS4"
"RAB10","CS1","CS2","CS2","CS1","CS3"
"RAB14","CS4","CS4","CS4","CS2","CS4"
"LGALS1","CS6","CS6","CS7","CS6","CS6"
"SUSD2","CS6","CS6","CS6","CS6","CS5"
"RGS10","CS6","CS6","CS5","CS5","CS6"
"LUC7L3","CS0","CS0","CS0","CS0","CS0"
"CHD1","CS3","CS3","CS2","CS3","CS3"
"FABP4","CS6","CS6","CS4","CS4","CS5"
"STRIP1","CS2","CS2","CS1","CS2","CS2"
"PPP1R2","CS1","CS1","CS1","CS1","CS0"
"NCAPG","CS0","CS0","CS0","CS0","CS0"
"CALM3","CS6","CS6","CS6","CS6","CS6"
"USP39","CS0","CS0","CS0","CS0","CS0"
"SRPRB","CS1","CS1","CS1","CS1","CS1"
"PURA","CS6","CS6","CS5","CS4","CS6"
"TNFRSF10D","CS6","CS6","CS6","CS6","CS6"
"ELF3","CS5","CS5","CS5","CS3","CS5"
"DHX57","CS4","CS4","CS4","CS4","CS5"
"FANCI","CS4","CS4","CS2","CS3","CS4"
"SGK1","CS4","CS5","CS5","CS5","CS4"
"PPP2CB","CS5","CS5","CS5","CS5","CS5"
"PTP4A1","CS3","CS3","CS3","CS3","CS4"
"GH1","CS5","CS5","CS5","CS6","CS5"
"LTA4H","CS5","CS5","CS5","CS4","CS5"
"RPS19","CS0","CS0","CS0","CS0","CS0"
"TTC27","CS0","CS0","CS0","CS0","CS0"
"XPO7","CS5","CS5","CS6","CS5","CS6"
"BZW1","CS3","CS3","CS3","CS3","CS3"
"BZW2","CS5","CS5","CS6","CS5","CS5"
"DDX3X","CS0","CS0","CS0","CS0","CS0"
"MPG","CS6","CS6","CS5","CS5","CS6"
"LRRC59","CS3","CS3","CS3","CS4","CS3"
"PSMD8","CS0","CS0","CS0","CS0","CS0"
"RPL32","CS0","CS0","CS0","CS0","CS0"
"UFM1","CS1","CS1","CS1","CS1","CS1"
"CDK5RAP3","CS2","CS2","CS2","CS2","CS2"
"ATG4B","CS5","CS6","CS5","CS6","CS4"
"PPP4R1","CS5","CS5","CS5","CS5","CS7"
"LTF","CS2","CS2","CS3","CS2","CS4"
"RPS3A",NA,NA,NA,NA,NA
"S100A8","CS4","CS4","CS5","CS4","CS5"
"AKAP13","CS6","CS6","CS4","CS6","CS4"
"EIF4G2","CS1","CS1","CS1","CS1","CS1"
"SEC63","CS2","CS2","CS2","CS1","CS1"
"TMEM33","CS6","CS6","CS6","CS6","CS6"
"NUP205","CS0","CS0","CS0","CS0","CS0"
"TTBK1","CS3","CS3","CS3","CS3","CS3"
"TTBK2","CS7","CS7","CS7","CS6","CS6"
"RSU1","CS4","CS4","CS4","CS2","CS2"
"CASP4","CS6","CS6","CS6","CS6","CS6"
"SMC3","CS0","CS0","CS1","CS0","CS1"
"RPS11","CS0","CS0","CS0","CS0","CS0"
"PPP1R11","CS0","CS0","CS0","CS0","CS0"
"WDR33","CS0","CS0","CS0","CS0","CS0"
"TSPAN17","CS4","CS4","CS4","CS5","CS6"
"HACD3","CS5","CS5","CS5","CS4","CS5"
"UBR4","CS1","CS1","CS1","CS0","CS1"
"ULK1","CS6","CS6","CS6","CS5","CS4"
"PELO","CS1","CS1","CS1","CS1","CS1"
"GTF2A1","CS1","CS1","CS1","CS1","CS1"
"TBPL1","CS6","CS6","CS7","CS6","CS8"
"EXT1","CS3","CS3","CS4","CS5","CS3"
"KRT33B",NA,NA,NA,NA,NA
"EZR","CS5","CS5","CS6","CS5","CS4"
"ACOT2","CS5","CS5","CS5","CS5","CS4"
"ZNF277","CS6","CS6","CS5","CS6","CS7"
"KRT35","CS4","CS4","CS5","CS4","CS5"
"CYCS","CS1","CS1","CS1","CS1","CS1"
"TUFM","CS3","CS3","CS3","CS2","CS3"
"KHSRP","CS4","CS4","CS5","CS4","CS5"
"RAB25","CS4","CS4","CS5","CS4","CS3"
"PKIG","CS4","CS4","CS4","CS5","CS6"
"BOP1","CS0","CS0","CS0","CS0","CS0"
"GSKIP","CS6","CS6","CS6","CS6","CS5"
"RPS10","CS0","CS0","CS0","CS0","CS0"
"PLEKHB2","CS6","CS6","CS4","CS6","CS2"
"HNF1A","CS5","CS5","CS5","CS5","CS5"
"BRIX1","CS0","CS0","CS0","CS0","CS0"
"S100A9","CS5","CS5","CS5","CS5","CS7"
"TAGLN","CS5","CS5","CS5","CS5","CS4"
"MYH7","CS5","CS5","CS5","CS4","CS5"
"NTHL1","CS6","CS6","CS6","CS6","CS6"
"SURF4","CS3","CS3","CS1","CS1","CS2"
"CALR","CS4","CS4","CS4","CS4","CS4"
"CALML5","CS6","CS6","CS5","CS6","CS6"
"BCAS1","CS5","CS5","CS5","CS5","CS8"
"KRT36","CS5","CS6","CS6","CS5","CS7"
"SRRT","CS1","CS1","CS1","CS1","CS1"
"STK38L","CS5","CS5","CS5","CS5","CS4"
"EIF2S3","CS0","CS0","CS0","CS0","CS0"
"BAG2","CS4","CS4","CS5","CS6","CS4"
"SPTLC1","CS1","CS1","CS1","CS1","CS1"
"MTHFD1","CS3","CS3","CS1","CS3","CS6"
"UFC1","CS1","CS1","CS1","CS1","CS2"
"CPVL","CS5","CS5","CS5","CS5","CS6"
"MEN1","CS1","CS1","CS1","CS4","CS3"
"NUDT1","CS6","CS6","CS6","CS6","CS6"
"LNPK","CS6","CS6","CS5","CS4","CS6"
"CHMP1A","CS2","CS2","CS3","CS2","CS2"
"GTF2A2","CS0","CS0","CS0","CS0","CS0"
"NOM1","CS1","CS1","CS1","CS2","CS1"
"RAB3GAP2","CS3","CS3","CS4","CS3","CS4"
"QRICH2","CS6","CS6","CS6","CS6","CS8"
"MKKS","CS6","CS6","CS6","CS5","CS6"
"TIMM8B","CS5","CS5","CS6","CS5","CS3"
"MTHFD1L","CS4","CS4","CS4","CS4","CS6"
"GAS8","CS6","CS6","CS4","CS6","CS6"
"DHX9","CS1","CS1","CS1","CS1","CS1"
"TARS1","CS0","CS0","CS0","CS0","CS0"
"DEGS1","CS6","CS6","CS6","CS6","CS6"
"PYGM","CS3","CS4","CS2","CS4","CS3"
"KRT82","CS5","CS5","CS5","CS5","CS5"
"RPS16","CS0","CS0","CS0","CS0","CS0"
"SLC1A5","CS2","CS4","CS4","CS2","CS4"
"NEK7","CS5","CS5","CS5","CS4","CS4"
"EBLN2","CS6","CS6","CS6","CS6","CS8"
"FOXK1","CS4","CS4","CS2","CS4","CS3"
"DENND4A","CS4","CS4","CS6","CS4","CS4"
"PNMA2","CS6","CS7","CS6","CS6","CS6"
"DEDD","CS4","CS4","CS5","CS3","CS4"
"C9orf163",NA,NA,NA,NA,NA
"MYH4","CS5","CS5","CS5","CS5","CS5"
"UNC79","CS5","CS5","CS5","CS5","CS4"
"KDELR1","CS4","CS4","CS5","CS4","CS4"
"NACA4P",NA,NA,NA,NA,NA
"UBR5","CS2","CS2","CS2","CS1","CS2"
"PCBD2","CS4","CS4","CS4","CS4","CS4"
"CBWD2",NA,NA,NA,NA,NA
"AIFM1","CS1","CS1","CS1","CS1","CS2"
"SUMO3","CS7","CS7","CS7","CS7","CS7"
"RRP12","CS0","CS0","CS0","CS0","CS0"
"PLS3","CS7","CS7","CS8","CS7","CS6"
"RPL34",NA,NA,NA,NA,NA
"DFFB","CS4","CS4","CS5","CS4","CS4"
"LCN1","CS2","CS2","CS3","CS2","CS2"
"MRPS34","CS1","CS1","CS1","CS4","CS1"
"SLC4A7","CS3","CS3","CS2","CS3","CS3"
"RPS9","CS0","CS0","CS0","CS0","CS0"
"PDIA4","CS4","CS4","CS4","CS3","CS5"
"SNRPB2","CS1","CS1","CS2","CS0","CS1"
"LYZ","CS5","CS5","CS5","CS5","CS3"
"PARP3","CS5","CS5","CS5","CS5","CS5"
"KPTN","CS5","CS5","CS4","CS5","CS5"
"HSPE1","CS0","CS0","CS0","CS0","CS0"
"USP15","CS5","CS5","CS5","CS6","CS5"
"DDRGK1","CS2","CS2","CS2","CS2","CS3"
"FADS1","CS6","CS6","CS6","CS6","CS3"
"MRPL44","CS3","CS3","CS3","CS4","CS3"
"CHMP6","CS0","CS0","CS0","CS0","CS0"
"RAB17","CS4","CS4","CS4","CS4","CS4"
"CAB39L","CS5","CS5","CS5","CS5","CS5"
"GSN","CS6","CS6","CS6","CS6","CS6"
"EHF","CS5","CS5","CS5","CS4","CS5"
"FBLN1","CS6","CS6","CS6","CS6","CS7"
"ARPC5L","CS7","CS7","CS5","CS4","CS7"
"CFLAR","CS0","CS0","CS0","CS0","CS1"
"ATG3","CS3","CS3","CS5","CS3","CS2"
"LAGE3","CS2","CS2","CS2","CS2","CS1"
"OSGEP","CS0","CS0","CS0","CS0","CS0"
"IGHA2",NA,NA,NA,NA,NA
"MTPN","CS6","CS6","CS5","CS6","CS8"
"VDAC2","CS3","CS3","CS3","CS3","CS3"
"UBA3","CS1","CS1","CS1","CS1","CS1"
"AK1","CS3","CS3","CS3","CS3","CS3"
"KMT2C","CS6","CS6","CS2","CS6","CS6"
"CTSA","CS6","CS6","CS4","CS5","CS4"
"SLC16A1","CS4","CS4","CS4","CS4","CS4"
"CERS2","CS2","CS2","CS1","CS2","CS2"
"RAB5C","CS3","CS2","CS3","CS2","CS2"
"SUN2","CS6","CS5","CS5","CS5","CS7"
"IQGAP2","CS7","CS7","CS6","CS6","CS7"
"JAK1","CS5","CS5","CS5","CS3","CS4"
"FBL","CS0","CS0","CS0","CS0","CS0"
"H2BC7",NA,NA,NA,NA,NA
"RPL35A","CS0","CS0","CS0","CS0","CS0"
"MYH2","CS5","CS5","CS5","CS5","CS5"
"TIMM50","CS5","CS5","CS5","CS4","CS4"
"GTPBP4","CS0","CS0","CS0","CS0","CS0"
"CDIN1","CS3","CS4","CS4","CS3","CS5"
"PLOD2","CS6","CS6","CS6","CS4","CS6"
"AKAP11","CS5","CS5","CS5","CS3","CS6"
"MTR","CS4","CS4","CS3","CS4","CS4"
"COX5A","CS2","CS2","CS1","CS2","CS2"
"CCDC59","CS1","CS1","CS1","CS1","CS1"
"FANCC","CS5","CS5","CS4","CS4","CS5"
"PRKRA","CS2","CS2","CS1","CS2","CS2"
"DCD","CS6","CS5","CS5","CS6","CS5"
"TIMP2","CS5","CS5","CS5","CS4","CS5"
"SGO2","CS3","CS3","CS3","CS2","CS4"
"EDEM1","CS6","CS6","CS6","CS5","CS5"
"RPF2","CS0","CS1","CS0","CS0","CS1"
"SFSWAP","CS1","CS1","CS1","CS1","CS1"
