label,label_wo_outliers
ZNF7,CS6,CS6
ANKRD24,CS4,CS4
SNRPN,CS5,CS5
ARL3,CS6,CS6
BHLHE40,CS6,CS6
RETREG2,CS5,CS5
CETN3,CS5,CS5
TUBB4B,CS3,CS3
ATN1,CS5,CS5
HK1,CS5,CS5
SLC25A36,CS5,CS5
ROGDI,CS6,CS6
GIPC2,CS5,CS5
GPD1,CS4,CS4
GSTO1,CS5,CS5
LAMA4,CS5,CS5
LRRC1,CS3,CS3
MRPL12,CS1,CS1
RPLP0,CS0,CS0
PSG9,CS5,CS5
PEX2,CS6,CS6
RBM5,CS3,CS3
RPS21,CS0,CS0
EPHB6,CS6,CS6
SOCS3,CS4,CS4
TIMP1,CS5,CS5
TMPRSS3,CS5,CS5
ZBTB45,CS4,CS4
RSRC1,CS5,CS5
EEF1B2,CS0,CS0
COPE,CS0,CS0
CUL9,CS5,CS5
GDNF,CS5,CS5
GFRA1,CS6,CS6
NRTN,CS5,CS5
CSF2RB,CS6,CS6
TG,CS6,CS6
CTLA4,CS5,CS5
CD80,CS6,CS6
CD28,CS6,CS6
TFRC,CS1,CS1
HFE,,
CEACAM8,CS3,CS3
ALK,CS5,CS5
COL14A1,CS5,CS5
GLS,CS4,CS4
CAPN2,CS6,CS6
TIA1,CS6,CS6
SRP9,CS0,CS0
FGFR2,CS5,CS5
SYK,CS6,CS6
KIF1C,CS5,CS5
IL12RB2,CS3,CS3
CD63,CS4,CS4
PTPRD,CS7,CS7
SH2B1,CS5,CS5
FGR,CS5,CS5
CAP1,CS1,CS1
PDGFA,CS5,CS5
PDGFB,CS6,CS6
ITGA2,CS5,CS5
LRP5,CS4,CS4
NR2F1,CS5,CS5
IRAG1,CS5,CS5
DES,CS5,CS5
GMIP,CS5,CS5
CREM,,
NET1,CS6,CS6
NRF1,CS0,CS0
MAP4K1,CS5,CS5
NEB,CS5,CS5
TMOD1,CS5,CS5
FRS2,CS4,CS4
WNT4,CS5,CS5
SFRP2,CS5,CS5
PDCL,CS1,CS1
PDC,CS4,CS4
F2R,CS4,CS4
SNX1,CS4,CS4
THBS1,CS5,CS5
FOSL2,CS4,CS4
ITGB1BP1,CS5,CS5
BCL2L14,CS5,CS5
GEMIN5,CS0,CS0
PRKCQ,CS5,CS5
MAFK,CS4,CS4
SLC7A5,CS1,CS1
PLAGL1,CS5,CS5
LMO1,CS6,CS6
BLNK,CS5,CS5
DNM3,CS3,CS3
AGFG1,CS6,CS6
IGF2,CS5,CS5
CDH8,CS7,CS7
NCF2,CS6,CS6
STK11IP,CS5,CS5
CPLX1,CS7,CS7
CPLX2,CS6,CS6
AGPS,CS5,CS5
GNPAT,CS6,CS6
PGF,CS5,CS5
COPS8,CS0,CS0
COPS7B,CS6,CS6
CX3CR1,CS7,CS7
CX3CL1,CS6,CS6
PTPRE,CS6,CS6
CD8A,CS6,CS6
CD8B,,
APBA3,CS7,CS7
FGFBP1,CS5,CS5
C3,CS5,CS5
CFP,CS6,CS6
ERG,CS4,CS4
SYNM,,
RHO,CS4,CS4
THBD,CS6,CS6
PROC,CS4,CS4
NEFL,,
NEFH,CS6,CS6
SPINT1,CS2,CS2
ST14,CS5,CS5
WASF3,CS5,CS5
WASF2,CS3,CS3
CSNK1A1,CS1,CS1
HMGB2,CS6,CS6
RCC1,CS0,CS0
PPP1R14A,CS6,CS6
ERF,CS6,CS6
HMOX1,CS5,CS5
AMPH,CS5,CS5
C5,CS5,CS5
C6,CS6,CS6
C7,CS7,CS7
CACNG2,CS5,CS5
GRM7,CS4,CS4
INHA,CS7,CS7
STAT5B,CS3,CS3
RAB11FIP3,CS6,CS6
RAB11FIP5,CS5,CS5
S100Z,CS5,CS5
CSTF1,CS1,CS1
GDF5,CS5,CS5
GDF6,CS5,CS5
UTY,,
KDM6A,CS5,CS5
TLE2,CS5,CS5
ITGA5,CS3,CS3
CSF1,CS4,CS4
PDGFC,CS6,CS6
GLI2,CS4,CS4
FAP,CS6,CS6
AP3S2,CS5,CS5
ARF5,CS5,CS5
HNRNPF,CS4,CS4
PDCD2,CS0,CS0
ARCN1,CS0,CS0
GPC3,CS6,CS6
MYCN,CS4,CS4
MYCL,CS5,CS5
LAMA3,CS5,CS5
PTPRJ,CS6,CS6
TNFRSF13B,CS5,CS5
GLDC,CS5,CS5
FCGR2A,CS6,CS6
FCGR1A,,
GOSR1,CS3,CS3
GOSR2,CS1,CS1
STX17,CS6,CS6
IL2RG,CS6,CS6
CFI,CS6,CS6
SF3B6,CS0,CS0
RERE,CS4,CS4
FGF19,CS4,CS4
FGFR4,CS5,CS5
PDE4A,CS4,CS4
PRAM1,CS5,CS5
SKAP2,CS5,CS5
KPNB1,CS0,CS0
C1S,CS3,CS3
MAP3K14,,
PSKH1,CS7,CS7
SH2B2,,
MUSK,CS5,CS5
SFTPA1,CS4,CS4
DMBT1,CS5,CS5
COL7A1,CS3,CS3
CXCR4,CS6,CS6
ALPP,CS6,CS6
TNFRSF10A,CS5,CS5
CPB2,CS5,CS5
FLNB,CS5,CS5
NOSTRIN,CS4,CS4
COL2A1,CS5,CS5
SOS2,CS5,CS5
LY96,CS5,CS5
MAPK8IP1,CS5,CS5
NOS1AP,CS3,CS3
SCN3A,CS6,CS6
PRLHR,CS6,CS6
LDLR,CS3,CS3
ITGB3,CS4,CS4
APCS,CS5,CS5
MMP2,CS6,CS6
DNAJC3,CS7,CS7
KLK1,CS6,CS6
SERPINA4,CS6,CS6
SHOC2,CS2,CS2
KRT5,CS4,CS4
ETV1,CS7,CS7
VWF,CS6,CS6
GP1BA,CS5,CS5
CTCF,CS0,CS0
LMX1A,CS6,CS6
BRD2,CS2,CS2
C8B,CS6,CS6
CAV2,CS5,CS5
PLCG2,CS6,CS6
TNKS2,CS6,CS6
ALAS2,CS7,CS7
SUCLA2,CS2,CS2
NECAB3,CS4,CS4
GNB4,CS5,CS5
GNG13,CS4,CS4
EHD1,CS4,CS4
EHD3,CS5,CS5
STK26,CS6,CS6
ST6GAL1,CS7,CS7
IFNA2,CS7,CS7
IFNAR2,CS5,CS5
TPBG,CS6,CS6
SRP19,CS0,CS0
IPO5,CS3,CS3
IPO7,CS0,CS0
IPO8,CS5,CS5
CISH,CS4,CS4
YKT6,CS0,CS0
SEC22A,CS5,CS5
BET1L,CS5,CS5
ATP23,CS2,CS2
NR0B2,CS3,CS3
MLXIP,,
PTPN7,CS5,CS5
TEC,CS5,CS5
ACVR2B,CS6,CS6
NOS2,CS5,CS5
GAR1,CS2,CS2
SEC61B,CS1,CS1
ELF1,CS4,CS4
CNR1,CS6,CS6
TRAF5,CS6,CS6
FCGR3B,,
IGHG1,,
MELK,CS4,CS4
TNIK,CS5,CS5
ITGB4,CS4,CS4
ADRB2,CS5,CS5
ADRB3,CS5,CS5
APOL1,CS6,CS6
NOG,CS6,CS6
NPY,CS5,CS5
LY86,CS6,CS6
CD180,CS5,CS5
SH3BP5,CS7,CS7
MSTN,CS6,CS6
FSTL3,CS7,CS7
AXL,CS5,CS5
TNS2,CS3,CS3
NAB2,CS5,CS5
AXIN2,CS4,CS4
DUSP3,CS4,CS4
SSX2IP,CS6,CS6
DDX1,CS3,CS3
RAB3B,CS4,CS4
FBXL4,CS4,CS4
FBXL5,CS5,CS5
BGN,CS6,CS6
GTF2F2,CS0,CS0
MSR1,CS6,CS6
AKAP12,CS5,CS5
CD36,CS5,CS5
HSD11B1,CS5,CS5
NID1,CS5,CS5
NID2,CS6,CS6
GRK5,CS5,CS5
LCT,CS4,CS4
IFNGR2,CS6,CS6
AREG,CS7,CS7
PLIN3,CS4,CS4
TNFSF11,CS6,CS6
GAST,CS6,CS6
MEP1B,CS5,CS5
MEP1A,CS5,CS5
GNRH1,CS6,CS6
SIL1,CS4,CS4
M6PR,CS6,CS6
GRHL3,CS6,CS6
GRHL1,CS6,CS6
GRHL2,CS4,CS4
MBL2,CS7,CS7
PSMB4,CS0,CS0
HLA-F,,
TMPO,CS6,CS6
ICAM5,CS4,CS4
RARB,CS5,CS5
IL10RA,CS6,CS6
ITGA8,CS5,CS5
IL7R,CS6,CS6
PDIA3,CS5,CS5
CD46,CS5,CS5
FCGRT,CS5,CS5
ADAM10,CS6,CS6
UTRN,CS6,CS6
BRD4,CS0,CS0
HERC5,CS5,CS5
ROS1,CS6,CS6
PCLO,CS6,CS6
CIDEB,CS4,CS4
PRSS1,CS6,CS6
PCNT,CS3,CS3
ADAM9,CS4,CS4
CHRNA1,CS5,CS5
CHRNG,CS3,CS3
NLRP1,CS5,CS5
MAP3K10,CS5,CS5
KIF3A,CS5,CS5
KIF17,CS5,CS5
DPM2,CS3,CS3
DPM3,CS2,CS2
SPARC,CS6,CS6
COL3A1,CS5,CS5
COL5A1,CS5,CS5
ICAM1,CS6,CS6
MMP7,CS5,CS5
TNFRSF8,CS2,CS2
TNFSF8,CS6,CS6
ENG,CS5,CS5
CDC42EP2,CS3,CS3
POLH,CS3,CS3
CCN2,CS7,CS7
GRK1,,
SKIL,CS5,CS5
MEIS1,CS7,CS7
FCGR3A,CS6,CS6
CD38,CS6,CS6
APOA2,CS4,CS4
EIF1AX,CS0,CS0
TNFRSF12A,CS4,CS4
PLG,CS4,CS4
FLT4,CS6,CS6
VEGFC,CS6,CS6
TRPC7,CS4,CS4
SLA,CS7,CS7
LAT,CS4,CS4
PTPN1,CS4,CS4
PSMC3IP,CS4,CS4
GGH,CS5,CS5
PPP3R1,CS4,CS4
TNKS1BP1,CS5,CS5
USH1C,CS5,CS5
CCL3,CS7,CS7
ABCD1,CS3,CS3
ABCD2,CS5,CS5
TNFAIP6,CS5,CS5
TJP3,CS4,CS4
PATJ,CS5,CS5
F12,CS6,CS6
DYNLT1,CS3,CS3
SH3BP2,CS6,CS6
GALNT12,CS6,CS6
MUC5AC,,
ITGB6,CS5,CS5
TP53AIP1,CS6,CS6
TCF20,CS6,CS6
CAMK2G,CS3,CS3
FLT3,CS4,CS4
ATP2B4,CS4,CS4
NRP1,CS6,CS6
LATS1,CS6,CS6
PTPRA,CS6,CS6
ZNF148,CS5,CS5
GNG10,CS5,CS5
SMAD5,,
SRP54,CS0,CS0
CFH,CS5,CS5
KCNG3,CS4,CS4
KCNH1,CS5,CS5
KCNV2,CS6,CS6
EPHA2,CS5,CS5
VEGFD,CS6,CS6
EIF5,CS0,CS0
OTC,CS6,CS6
CHMP3,CS1,CS1
LGALS3,CS5,CS5
MLH3,CS4,CS4
PMS1,CS6,CS6
NCR1,CS6,CS6
TGFBI,CS7,CS7
MKI67,CS4,CS4
DLGAP1,CS7,CS7
CDC42SE1,CS2,CS2
CDC42SE2,CS5,CS5
KLRK1,CS6,CS6
ITGAL,CS6,CS6
PRELP,CS4,CS4
FBLN2,CS6,CS6
GRIN2C,CS5,CS5
IL10,CS6,CS6
NR6A1,CS5,CS5
TEAD2,CS5,CS5
PRF1,CS5,CS5
NR5A2,CS5,CS5
EDF1,CS4,CS4
NR1H3,CS6,CS6
DAG1,CS4,CS4
CRP,CS4,CS4
C1QA,CS5,CS5
ZNF335,CS0,CS0
CBLC,CS4,CS4
DOCK2,CS6,CS6
RPS6KC1,CS5,CS5
SPHK1,CS5,CS5
CLINT1,CS7,CS7
GYPC,CS5,CS5
BCL2L10,CS5,CS5
POU1F1,CS5,CS5
OSM,CS6,CS6
LTA,CS4,CS4
ATOX1,CS7,CS7
SYNRG,CS5,CS5
GM2A,CS5,CS5
NQO1,CS4,CS4
CRIPT,CS3,CS3
RYR3,CS6,CS6
RAD18,CS4,CS4
FXN,CS1,CS1
VGLL1,CS7,CS7
PTCH1,CS5,CS5
SMO,CS5,CS5
PTCH2,CS4,CS4
TIMP3,CS7,CS7
MST1R,CS5,CS5
PTPRR,CS5,CS5
PTPN5,CS6,CS6
S1PR4,CS5,CS5
NAGPA,CS3,CS3
RASSF5,CS5,CS5
NUCB1,CS4,CS4
ACTR1A,CS1,CS1
CDC25C,CS4,CS4
DDB2,CS4,CS4
KIR2DS2,,
CCR4,CS4,CS4
GRK3,CS5,CS5
IGFBP1,CS4,CS4
AHSG,CS6,CS6
PCBP2,CS0,CS0
APEX1,CS4,CS4
MMP3,CS6,CS6
FABP1,CS6,CS6
DIAPH3,CS4,CS4
TAF1A,CS1,CS1
TAF1B,CS1,CS1
PIGA,CS6,CS6
PIGP,CS5,CS5
PIGQ,CS5,CS5
SH2D2A,CS5,CS5
CXCL12,CS4,CS4
MYBL1,CS6,CS6
C1D,CS1,CS1
BLK,CS7,CS7
AMD1,CS1,CS1
HLA-DRB1,,
HLA-DMA,,
VAMP1,CS5,CS5
VAPA,CS4,CS4
ANKS1B,,
IL3,CS5,CS5
IL3RA,CS6,CS6
KIR2DL1,CS4,CS4
RETN,CS4,CS4
FRK,CS5,CS5
STX12,CS5,CS5
CD19,CS4,CS4
CR2,CS6,CS6
PDCD4,CS5,CS5
GDF15,CS6,CS6
UCP1,CS6,CS6
WBP1,CS1,CS1
WBP2,CS5,CS5
COL4A2,CS6,CS6
VTN,CS3,CS3
TPD52,CS7,CS7
MAL2,,
LEP,CS5,CS5
ELMO1,CS5,CS5
POU2AF1,CS5,CS5
ARHGAP35,CS7,CS7
TAF8,CS1,CS1
RCAN1,CS6,CS6
ACBD3,CS4,CS4
TNFRSF21,CS6,CS6
SERPINF2,CS7,CS7
HSPA14,CS4,CS4
MID1,CS7,CS7
TRIM3,CS6,CS6
TRIM5,CS6,CS6
TRIM6,CS6,CS6
TRIM8,CS5,CS5
TRIM11,CS6,CS6
TRIM25,CS4,CS4
TRIM26,CS5,CS5
TRIM31,CS6,CS6
CYBA,CS5,CS5
FH,CS3,CS3
TNFSF14,CS5,CS5
LTBR,CS5,CS5
F13A1,CS6,CS6
F13B,CS5,CS5
AANAT,CS4,CS4
PKIA,CS5,CS5
TRIM63,CS7,CS7
IRS4,CS4,CS4
RANGRF,CS5,CS5
DRD1,CS6,CS6
ADORA1,CS4,CS4
STIM1,CS6,CS6
STIM2,CS6,CS6
PTHLH,CS6,CS6
PTH1R,CS6,CS6
CLPP,CS4,CS4
DNAJC7,CS4,CS4
SPTB,CS4,CS4
ANK1,CS6,CS6
RGS18,CS6,CS6
C4BPA,CS7,CS7
HOXC4,CS3,CS3
HOXD4,CS4,CS4
DLX2,CS5,CS5
MAP3K13,CS4,CS4
MME,CS6,CS6
GRIA4,CS6,CS6
FGB,CS7,CS7
NFIL3,CS6,CS6
DGAT1,CS4,CS4
RAC3,CS3,CS3
NPPA,CS5,CS5
NPR3,CS6,CS6
NPPC,CS4,CS4
NPR2,CS3,CS3
CSF3R,CS6,CS6
KMT5A,CS1,CS1
RNF144A,CS8,CS8
CD6,CS4,CS4
ALCAM,CS4,CS4
HLA-E,,
C1R,,
ITPR3,CS4,CS4
PTTG1,CS2,CS2
PRDX6,CS5,CS5
AVPR2,CS6,CS6
CD5,CS4,CS4
ARID3B,CS4,CS4
TYRO3,CS2,CS2
RIPK4,CS5,CS5
DMPK,CS4,CS4
DLGAP2,CS7,CS7
DLGAP3,CS4,CS4
GRB14,CS4,CS4
CLIP2,CS6,CS6
PARD6B,CS4,CS4
IRAK2,CS6,CS6
IRAK3,CS5,CS5
GATA3,CS4,CS4
ATRIP,CS1,CS1
SSBP1,CS3,CS3
SSBP3,CS1,CS1
EVPL,CS6,CS6
SOX18,CS7,CS7
OMP,CS5,CS5
BEX1,CS6,CS6
MMP1,CS6,CS6
SHH,CS7,CS7
EIF2B4,CS0,CS0
PKNOX1,CS6,CS6
UNG,CS4,CS4
UAP1,CS2,CS2
METAP2,CS1,CS1
TOB2,CS7,CS7
PPP2R5B,CS3,CS3
CCNG2,CS7,CS7
PPP2R5C,CS4,CS4
RP2,CS5,CS5
SGCD,CS5,CS5
SGCG,CS5,CS5
ELK3,CS5,CS5
PBX2,CS3,CS3
KIR2DL4,CS5,CS5
GUSB,CS5,CS5
CES1,CS5,CS5
KLRC1,CS5,CS5
KLRD1,CS6,CS6
KLRC2,CS6,CS6
KLRC3,CS7,CS7
PRM1,CS5,CS5
WNT1,CS3,CS3
SFRP1,CS5,CS5
WNT2,CS6,CS6
FZD6,CS6,CS6
CD1D,CS3,CS3
ASB8,CS4,CS4
AHCYL1,CS1,CS1
TEP1,CS5,CS5
CYP11A1,CS5,CS5
FDX1,CS3,CS3
JAG1,CS5,CS5
DLL1,CS6,CS6
ARHGEF3,CS5,CS5
AGTR1,CS5,CS5
NMU,CS5,CS5
NMUR2,CS6,CS6
TLN2,CS5,CS5
TNR,CS6,CS6
BCAN,CS3,CS3
BICD2,CS4,CS4
AKT3,CS7,CS7
MAP3K4,CS6,CS6
EAF1,CS1,CS1
ELL2,CS3,CS3
PTTG1IP,CS6,CS6
STX7,CS5,CS5
BACH1,CS6,CS6
ASGR1,CS6,CS6
ASGR2,CS6,CS6
SLC22A1,CS6,CS6
TNFRSF11A,CS6,CS6
CASP7,CS5,CS5
CASP12,,
AMBP,CS6,CS6
ITGB7,CS4,CS4
RAG1,CS4,CS4
NFYC,CS0,CS0
FSHR,CS5,CS5
HOXD9,CS4,CS4
KCNJ11,CS5,CS5
KCNJ8,CS6,CS6
RLBP1,CS5,CS5
RDH5,CS3,CS3
CCL4,,
XPOT,CS1,CS1
KITLG,CS7,CS7
OLFM3,CS5,CS5
MYOC,CS5,CS5
ITGA6,CS4,CS4
CELF2,CS4,CS4
CTSS,CS5,CS5
IGFALS,CS4,CS4
NTF3,CS4,CS4
NTRK2,CS6,CS6
NTRK3,CS5,CS5
MTNR1A,CS5,CS5
GNA11,CS4,CS4
SPINT2,CS4,CS4
KLF3,CS7,CS7
PZP,CS6,CS6
ITGAD,CS5,CS5
ICAM3,CS4,CS4
TNFRSF6B,CS7,CS7
TEK,CS5,CS5
ANGPT1,CS5,CS5
ANGPT2,CS5,CS5
STK35,CS6,CS6
SERPINI1,CS6,CS6
GDI2,CS5,CS5
OSBP2,CS5,CS5
ADAM19,CS6,CS6
LCAT,CS4,CS4
SORL1,CS5,CS5
OPRM1,CS6,CS6
ADA,CS5,CS5
C5AR1,CS6,CS6
FGF9,CS5,CS5
PTGS2,CS6,CS6
EFNB1,CS6,CS6
COL8A2,CS5,CS5
MAP4K2,CS3,CS3
MIA,CS6,CS6
BFSP1,CS6,CS6
DUSP16,CS5,CS5
PRKCG,CS7,CS7
SLPI,CS5,CS5
KCNA3,CS4,CS4
KCNAB2,CS6,CS6
PPP2R3B,CS6,CS6
PPP2R3A,CS5,CS5
CLYBL,CS7,CS7
SH3GLB1,CS5,CS5
RILP,CS2,CS2
PPP2R1B,CS6,CS6
DMC1,CS5,CS5
ADAM12,CS5,CS5
LCN2,CS4,CS4
NLRP4,CS4,CS4
JAG2,CS5,CS5
PAPPA2,CS5,CS5
MAPRE1,CS2,CS2
CD3E,CS6,CS6
ENPP1,CS5,CS5
HMGN1,,
COL25A1,CS5,CS5
LAMA5,CS6,CS6
KCNJ6,CS5,CS5
SMG1,CS0,CS0
FMOD,CS7,CS7
NLGN2,CS5,CS5
NLGN1,CS5,CS5
NLGN3,CS5,CS5
MXD3,CS5,CS5
CREBZF,CS4,CS4
CLCF1,CS5,CS5
LDHB,CS6,CS6
KCNE1,,
KCNE2,CS6,CS6
IL18BP,CS4,CS4
IL18,CS4,CS4
LHX3,CS4,CS4
TSPAN4,CS6,CS6
HSD17B10,CS1,CS1
CD59,CS6,CS6
NCR3,CS5,CS5
AUH,CS5,CS5
SALL1,CS5,CS5
GDA,CS5,CS5
KCND2,CS5,CS5
SLC26A8,CS5,CS5
TSN,CS6,CS6
POLD3,CS0,CS0
USP10,CS1,CS1
CTNNAL1,CS7,CS7
ICAM2,CS7,CS7
HOXB1,CS5,CS5
EFNA5,CS4,CS4
EPHA7,CS6,CS6
SYT13,CS6,CS6
NRXN1,CS6,CS6
SEMA6A,CS6,CS6
RAPGEF3,CS5,CS5
RAPGEF5,CS6,CS6
ICMT,CS3,CS3
CRH,CS4,CS4
CRHR2,CS6,CS6
PARG,,
PRKG2,CS4,CS4
MYLK,CS6,CS6
LAMTOR3,CS1,CS1
LAMTOR2,CS1,CS1
WRNIP1,CS6,CS6
EIF4B,CS1,CS1
CAMK1,CS5,CS5
PAH,CS6,CS6
QDPR,CS6,CS6
TMED2,CS1,CS1
BLZF1,CS4,CS4
TMED3,CS6,CS6
TGFA,CS5,CS5
TMED10,CS1,CS1
TLR1,CS7,CS7
DUSP19,CS4,CS4
NR2F2,CS5,CS5
SRA1,CS5,CS5
TMEM132A,CS6,CS6
TNFRSF9,CS5,CS5
CDC34,CS6,CS6
ANAPC2,CS0,CS0
FGG,CS5,CS5
ELP3,CS1,CS1
ELP2,CS1,CS1
ELP4,CS1,CS1
ASAP1,CS6,CS6
SP2,CS3,CS3
SP4,CS6,CS6
GP1BB,CS3,CS3
KCNK3,CS7,CS7
WNT3A,CS6,CS6
FZD1,CS6,CS6
WNT5A,CS5,CS5
PLA2G1B,CS4,CS4
PLA2G2A,CS6,CS6
CCS,CS3,CS3
ZNF33A,CS6,CS6
PKLR,CS4,CS4
ARHGEF6,CS6,CS6
CUL7,CS3,CS3
FBXO3,CS4,CS4
FBXO22,CS4,CS4
TUBA1B,CS0,CS0
FBXW8,CS4,CS4
GLRB,CS5,CS5
SWAP70,CS5,CS5
PITPNM3,CS5,CS5
PITPNM1,CS3,CS3
PITPNM2,CS4,CS4
DOK4,CS4,CS4
MPL,CS4,CS4
ATXN2L,CS4,CS4
GAB3,CS7,CS7
HOXB3,CS4,CS4
HOXC6,CS3,CS3
HOXD3,CS5,CS5
HOXD8,CS6,CS6
HOXD10,CS5,CS5
HOXD11,CS5,CS5
SNAPC1,CS0,CS0
SNAPC3,CS0,CS0
TNC,CS6,CS6
PPP1R10,CS1,CS1
RRP1B,CS5,CS5
HTR1A,CS5,CS5
S1PR3,CS6,CS6
GPR26,CS5,CS5
S1PR1,CS6,CS6
HTR1D,CS6,CS6
RARG,CS4,CS4
BICD1,CS4,CS4
CCNG1,CS6,CS6
SPDEF,CS6,CS6
NKX3-1,,
UBE2R2,CS4,CS4
CYC1,CS1,CS1
RGS3,,
BDKRB2,CS6,CS6
TNFRSF4,CS6,CS6
AKAP14,CS6,CS6
SLC6A4,CS3,CS3
LAIR1,CS4,CS4
NKX2-1,,
SNRPC,CS0,CS0
ARL4A,CS5,CS5
ELN,CS7,CS7
MFAP2,CS5,CS5
P2RX4,CS4,CS4
SNCB,CS6,CS6
SLC8A1,CS6,CS6
ARHGDIB,CS7,CS7
ZNF239,CS5,CS5
SIX5,CS5,CS5
EYA3,CS4,CS4
EIF4EBP2,CS4,CS4
TUBB2B,CS5,CS5
TRIM55,CS5,CS5
TRIM54,CS4,CS4
ERCC5,CS6,CS6
CCR1,CS5,CS5
CCL23,CS5,CS5
DRP2,CS5,CS5
PRKAA1,CS5,CS5
CLIP1,CS4,CS4
FNIP1,CS7,CS7
RPS6,CS0,CS0
POLDIP3,CS5,CS5
RPS6KB2,CS5,CS5
EEF2K,CS6,CS6
RRN3,CS0,CS0
MLST8,CS1,CS1
EIF2A,CS4,CS4
DOCK7,CS3,CS3
FLCN,CS2,CS2
NRAP,CS6,CS6
SLC6A1,CS6,CS6
IFT172,CS5,CS5
LHX4,CS4,CS4
ATF7,CS2,CS2
FST,CS5,CS5
INHBB,CS5,CS5
ADD2,CS5,CS5
UCHL3,CS5,CS5
AVPR1A,CS2,CS2
AVPR1B,CS5,CS5
GULP1,CS6,CS6
MYOZ3,CS6,CS6
AP3S1,CS2,CS2
AVIL,CS3,CS3
NCAN,CS4,CS4
STON2,CS7,CS7
EPS15L1,CS3,CS3
SYT2,CS4,CS4
ZDHHC16,CS4,CS4
PODXL,CS4,CS4
IFNG,CS6,CS6
IFNGR1,CS6,CS6
TAF2,CS1,CS1
CFHR5,CS4,CS4
MAST1,CS3,CS3
NPHP4,CS4,CS4
IL22RA2,CS6,CS6
IL22,CS6,CS6
BNC1,CS4,CS4
BANF1,CS0,CS0
POU4F1,CS6,CS6
POU4F2,CS5,CS5
DLX5,CS5,CS5
HOXC8,CS4,CS4
GFRA3,CS5,CS5
ARTN,CS2,CS2
SNX6,CS3,CS3
TAP2,CS5,CS5
SNAPC2,CS0,CS0
IDE,CS4,CS4
REXO4,CS5,CS5
LBP,CS6,CS6
CFHR1,CS4,CS4
ARHGAP10,CS6,CS6
PKN3,CS3,CS3
ARHGAP26,CS7,CS7
UTF1,CS6,CS6
ERCC6,CS4,CS4
TGFBRAP1,CS3,CS3
PTGFRN,CS5,CS5
TLX2,CS5,CS5
ARL2BP,CS4,CS4
CNTNAP2,CS6,CS6
SYNC,CS5,CS5
CEBPE,CS4,CS4
DAPK1,CS5,CS5
SHARPIN,CS6,CS6
RANBP10,CS4,CS4
FMNL3,CS5,CS5
MECP2,CS6,CS6
STX6,CS6,CS6
STX16,CS7,CS7
VTI1A,CS5,CS5
COL17A1,CS4,CS4
TJAP1,CS3,CS3
SHC3,CS3,CS3
ABCB7,CS0,CS0
FECH,CS1,CS1
IL12RB1,CS3,CS3
IL23R,CS6,CS6
IL23A,CS5,CS5
CCL3L1,,
UIMC1,CS5,CS5
NCAPD2,CS0,CS0
ATP6V1H,CS0,CS0
IL13RA1,CS6,CS6
PTPRG,CS4,CS4
SEMA4C,CS4,CS4
POU3F1,CS7,CS7
PTPRM,CS5,CS5
PTPN22,CS4,CS4
NLK,CS7,CS7
TCF7L2,CS5,CS5
TGFBR3,CS5,CS5
C9,CS4,CS4
TOMM22,CS0,CS0
MAPKAPK5,CS4,CS4
ITM2B,CS3,CS3
TPSAB1,CS5,CS5
ANGPT4,CS7,CS7
TIE1,CS4,CS4
IL21R,CS4,CS4
GALNT14,CS5,CS5
MUC13,,
SH2B3,CS5,CS5
CD3D,CS2,CS2
PI3,CS7,CS7
IVL,CS6,CS6
ARHGAP17,CS5,CS5
CYFIP1,CS2,CS2
BMP6,CS4,CS4
ADGRB1,CS6,CS6
HIP1R,CS5,CS5
OPRL1,CS6,CS6
PNOC,CS6,CS6
ARF4,CS1,CS1
TRAT1,CS7,CS7
DAB2IP,CS7,CS7
RAB6B,CS4,CS4
ENC1,CS5,CS5
CD86,CS4,CS4
FBN1,CS6,CS6
POGZ,CS2,CS2
KLK2,CS7,CS7
ATP6AP2,CS1,CS1
KIF20A,CS1,CS1
RGS5,CS7,CS7
GALNS,CS5,CS5
EBI3,CS4,CS4
GPR143,CS6,CS6
SUCLG2,CS6,CS6
CHML,CS6,CS6
TAPBP,CS4,CS4
ARHGEF4,CS5,CS5
HOXB8,CS5,CS5
SLC26A3,CS6,CS6
BEST1,CS5,CS5
EFNB2,CS6,CS6
ISL1,CS6,CS6
ISL2,CS5,CS5
VCAM1,CS5,CS5
REPS2,CS6,CS6
SRY,,
ITPR2,CS5,CS5
GSTA1,,
LCN1,CS2,CS2
LMBR1L,CS2,CS2
IER3,CS4,CS4
HNF1B,CS4,CS4
IL15RA,CS5,CS5
OCRL,CS5,CS5
MCAM,CS5,CS5
NFE2L3,CS2,CS2
RAB13,CS3,CS3
CD34,CS6,CS6
SEC23A,CS4,CS4
SEC24B,CS5,CS5
TLN1,CS1,CS1
G6PD,CS5,CS5
SYT7,CS4,CS4
SYT8,CS7,CS7
SYT3,CS5,CS5
SLC12A3,CS5,CS5
NR3C2,CS5,CS5
IL17RB,CS5,CS5
PIGS,CS3,CS3
RAB27B,CS7,CS7
CSF2,CS5,CS5
CSF2RA,CS6,CS6
FRAT1,CS5,CS5
DYNC2H1,CS5,CS5
DYNC2LI1,CS5,CS5
SGK3,CS6,CS6
KIR2DL3,CS6,CS6
HR,CS5,CS5
ESRRA,CS2,CS2
ESRRB,CS6,CS6
SH2D1B,CS6,CS6
AHRR,CS5,CS5
REPS1,CS6,CS6
LPA,CS3,CS3
THEM4,CS4,CS4
